Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_MF_FAT,GO:0003735~structural constituent of ribosome,16,45.714285714285715,9.481705937874649e-19,"P0A7R5, P02413, P0A7S9, P0ADY7, P0A7R9, P02359, P60624, P0AG44, P60723, P61175, P0AG51, P0A7M2, P0A7W1, P0A7W7, P0A7L3, P0AG59",33,57,2995,25.47581073896864,1.1567681244207068e-16,1.1567681244207068e-16,1.0916921200023415e-15
GOTERM_CC_FAT,GO:0044391~ribosomal subunit,16,45.714285714285715,1.3630286481135515e-17,"P0A7R5, P02413, P0A7S9, P0ADY7, P0A7R9, P02359, P60624, P0AG44, P60723, P61175, P0AG51, P0A7M2, P0A7W1, P0A7W7, P0A7L3, P0AG59",28,57,1988,19.929824561403507,2.726057296227103e-16,2.726057296227103e-16,1.037390011246854e-14
GOTERM_CC_FAT,GO:0022626~cytosolic ribosome,16,45.714285714285715,1.3630286481135515e-17,"P0A7R5, P02413, P0A7S9, P0ADY7, P0A7R9, P02359, P60624, P0AG44, P60723, P61175, P0AG51, P0A7M2, P0A7W1, P0A7W7, P0A7L3, P0AG59",28,57,1988,19.929824561403507,2.726057296227103e-16,2.726057296227103e-16,1.037390011246854e-14
GOTERM_CC_FAT,GO:0005840~ribosome,16,45.714285714285715,5.573369638525557e-17,"P0A7R5, P02413, P0A7S9, P0ADY7, P0A7R9, P02359, P60624, P0AG44, P60723, P61175, P0AG51, P0A7M2, P0A7W1, P0A7W7, P0A7L3, P0AG59",28,62,1988,18.322580645161292,2.2204460492503127e-15,1.1102230246251563e-15,8.881784197001252e-14
GOTERM_MF_FAT,GO:0005198~structural molecule activity,16,45.714285714285715,5.695618656463778e-17,"P0A7R5, P02413, P0A7S9, P0ADY7, P0A7R9, P02359, P60624, P0AG44, P60723, P61175, P0AG51, P0A7M2, P0A7W1, P0A7W7, P0A7L3, P0AG59",33,73,2995,19.892071398920717,1.354472090042691e-14,6.772360450213455e-15,1.3322676295501876e-13
GOTERM_CC_FAT,GO:1990904~ribonucleoprotein complex,16,45.714285714285715,9.435630820112385e-17,"P0A7R5, P02413, P0A7S9, P0ADY7, P0A7R9, P02359, P60624, P0AG44, P60723, P61175, P0AG51, P0A7M2, P0A7W1, P0A7W7, P0A7L3, P0AG59",28,64,1988,17.749999999999996,2.2204460492503127e-15,7.771561172376097e-16,8.881784197001252e-14
GOTERM_CC_FAT,GO:0030529~intracellular ribonucleoprotein complex,16,45.714285714285715,9.435630820112385e-17,"P0A7R5, P02413, P0A7S9, P0ADY7, P0A7R9, P02359, P60624, P0AG44, P60723, P61175, P0AG51, P0A7M2, P0A7W1, P0A7W7, P0A7L3, P0AG59",28,64,1988,17.749999999999996,2.2204460492503127e-15,7.771561172376097e-16,8.881784197001252e-14
GOTERM_CC_FAT,GO:0044445~cytosolic part,16,45.714285714285715,4.1101613033873256e-16,"P0A7R5, P02413, P0A7S9, P0ADY7, P0A7R9, P02359, P60624, P0AG44, P60723, P61175, P0AG51, P0A7M2, P0A7W1, P0A7W7, P0A7L3, P0AG59",28,70,1988,16.228571428571428,8.88178419700125e-15,2.2204460492503127e-15,3.330669073875469e-13
GOTERM_MF_FAT,GO:0019843~rRNA binding,13,37.142857142857146,2.643211012771514e-14,"P02413, P0A7S9, P0ADY7, P0A7R9, P02359, P60624, P60723, P61175, P36979, P0A7W1, P0A7L3, P0A7W7, P0AG59",33,51,2995,23.13428401663696,3.2236435743016045e-12,1.074584865534689e-12,3.042011087472929e-11
GOTERM_BP_FAT,GO:0006412~translation,16,45.714285714285715,1.2290088473209892e-13,"P0A7R5, P02413, P0A7S9, P0ADY7, P0A7R9, P02359, P60624, P0AG44, P60723, P61175, P0AG51, P0A7M2, P0A7W1, P0A7W7, P0A7L3, P0AG59",32,132,3216,12.181818181818182,2.7284174919373072e-11,2.7284174919373072e-11,1.566746732351021e-10
GOTERM_BP_FAT,GO:0043043~peptide biosynthetic process,16,45.714285714285715,4.134006227868205e-13,"P0A7R5, P02413, P0A7S9, P0ADY7, P0A7R9, P02359, P60624, P0AG44, P60723, P61175, P0AG51, P0A7M2, P0A7W1, P0A7W7, P0A7L3, P0AG59",32,143,3216,11.244755244755245,9.178524607023064e-11,4.589262303511532e-11,5.270561764803007e-10
