Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_MF_FAT,GO:0044822~poly(A) RNA binding,34,16.03773585,2.96E-06,"O14562, P46776, J3QR64, Q9NX07, Q13769, K7EK33, H0Y4V9, Q01081, P10412, Q9BTD8, Q15427, P62993, Q9Y224, Q07352, P07305, P47914, E9PK54, Q7L8L6, H0Y3Q8, Q9BQ75, Q9BYG3, Q9BYK2, Q5VWC4, P62861, P42704, H7BY36, P16403, P23284, P10599, P16402, Q9Y5S9, P62318, Q9BPZ3, O15116",182,1196,15478,2.417637546,0.001603508,0.001603508,0.004312027
GOTERM_CC_FAT,GO:0005829~cytosol,67,31.60377358,1.38E-05,"Q9HC10, H0Y4V9, Q14CS0, Q8NBQ5, P62993, Q9UIL1, A0A087WSV8, Q9Y224, Q9H0X9, P47914, P62891, Q4G0F5, E5RJR5, E9PK54, Q9BUB5, E5RIM7, P58004, P11279, A0A0C4DGQ5, Q9BYK2, Q5VWC4, P62861, P10599, P67775, Q9Y5S9, P62318, Q9NQA3, Q16595, O15116, Q9HBH0, O43639, Q9UJX6, P46776, Q14596, J3QR64, P07951, O95140, O15013, P20962, Q9Y244, O94760, A6NMN0, P42858, Q14353, Q07352, P61225, P62834, Q96D53, Q8IWB7, Q9NXR1, H0Y3Q8, A0A087X1N7, P17096, Q63HQ0, C9JIC7, Q5SRQ6, Q14653, M0QY77, P35754, Q9H089, E9PNN6, Q9UMS0, Q7Z2Y8, Q16719, Q9C035, Q99584, F8WA39",176,3399,14527,1.62699758,0.005938396,0.005938396,0.019443947
GOTERM_BP_FAT,GO:0006412~translation,21,9.905660377,3.37E-05,"O43639, P53007, P46776, J3QR64, Q9NX07, H0Y3Q8, P58004, H0Y4V9, Q9BYK2, Q86TS9, O75879, Q5VV42, P62861, P42704, P82664, Q07352, Q9UET6, P47914, Q96DP5, Q9BPZ3, P62891",187,641,16650,2.916982989,0.090347008,0.090347008,0.060162224
GOTERM_MF_FAT,GO:0003723~RNA binding,39,18.39622642,3.44E-05,"O14562, P46776, J3QR64, Q9NX07, Q13769, K7EK33, H0Y4V9, Q01081, P10412, Q9BTD8, Q15427, P62993, K7EMV4, Q9Y224, Q07352, P07305, P47914, P62891, Q99547, E9PK54, Q7L8L6, H0Y3Q8, Q9BQ75, Q9BYG3, O15037, Q9BYK2, O75879, Q5VWC4, P62861, P42704, H7BY36, P16403, P23284, P10599, P16402, Q9Y5S9, P62318, Q9BPZ3, O15116",182,1656,15478,2.002846791,0.01845979,0.009272888,0.050052872
GOTERM_BP_FAT,GO:0043043~peptide biosynthetic process,21,9.905660377,5.86E-05,"O43639, P53007, P46776, J3QR64, Q9NX07, H0Y3Q8, P58004, H0Y4V9, Q9BYK2, Q86TS9, O75879, Q5VV42, P62861, P42704, P82664, Q07352, Q9UET6, P47914, Q96DP5, Q9BPZ3, P62891",187,667,16650,2.803277506,0.151972485,0.079115906,0.104708472
GOTERM_BP_FAT,GO:0043603~cellular amide metabolic process,26,12.26415094,0.00011876,"B1AP22, O43639, P53007, P46776, J3QR64, Q9BUB5, Q9NX07, H0Y3Q8, H0Y4V9, P58004, Q9BYK2, O75879, Q86TS9, H0YEH1, Q5VV42, P62861, P42704, P82664, P67775, Q9Y5S9, Q07352, Q9UET6, P47914, Q96DP5, Q9BPZ3, P62891",187,994,16650,2.328946944,0.28401134,0.105386636,0.212101934
GOTERM_BP_FAT,GO:0006518~peptide metabolic process,23,10.8490566,0.000122051,"B1AP22, O43639, P53007, P46776, J3QR64, Q9NX07, H0Y3Q8, P58004, H0Y4V9, Q9BYK2, Q86TS9, O75879, H0YEH1, Q5VV42, P62861, P42704, P82664, Q07352, Q9UET6, P47914, Q96DP5, Q9BPZ3, P62891",187,818,16650,2.503497509,0.290610602,0.082256804,0.217974182
GOTERM_BP_FAT,GO:0016071~mRNA metabolic process,20,9.433962264,0.00019333,"E9PK54, P46776, J3QR64, Q13769, Q7L8L6, K7EK33, Q8WW01, Q01081, Q9BYK2, Q15427, P36954, Q9BTD8, P62861, P67775, Q9Y5S9, P62318, Q07352, P47914, P62891, O15116",187,672,16650,2.649923606,0.419513894,0.103070381,0.34506517
GOTERM_BP_FAT,GO:0006396~RNA processing,24,11.32075472,0.000211453,"E9PK54, Q99547, P46776, Q13769, Q7L8L6, K7EK33, Q8WW01, Q01081, Q9BYK2, Q15427, P36954, Q9BTD8, Q5VV42, P62861, Q9Y224, P67775, Q9Y5S9, P62318, Q07352, Q9UET6, P47914, Q96DP5, P62891, O15116",187,910,16650,2.348239995,0.448371503,0.094390196,0.377354822
GOTERM_BP_FAT,GO:0043604~amide biosynthetic process,21,9.905660377,0.000220473,"O43639, P53007, P46776, J3QR64, Q9NX07, H0Y3Q8, P58004, H0Y4V9, Q9BYK2, Q86TS9, O75879, Q5VV42, P62861, P42704, P82664, Q07352, Q9UET6, P47914, Q96DP5, Q9BPZ3, P62891",187,736,16650,2.540470239,0.462195316,0.084796237,0.393422182
GOTERM_BP_FAT,GO:0006914~autophagy,15,7.075471698,0.000260423,"E9PK54, Q14596, O95140, Q9H082, P11279, P58004, A0A0C4DGQ5, C9JIC7, Q9H9H4, Q01081, Q9UIL1, P42858, Q9C035, Q4G0F5, Q15388",187,418,16650,3.195123199,0.519374022,0.08751464,0.464553948
GOTERM_BP_FAT,GO:0006401~RNA catabolic process,11,5.188679245,0.00050005,"P62861, P46776, P42704, J3QR64, Q07352, P67775, Q9Y5S9, P47914, P62891, O15116, Q9BYK2",187,249,16650,3.933380581,0.755121089,0.144725134,0.890209199
GOTERM_CC_FAT,GO:0030529~intracellular ribonucleoprotein complex,22,10.37735849,0.000508462,"E9PK54, P46776, Q7L8L6, Q9BQ75, H0Y4V9, Q01081, Q9BX70, Q9BYK2, Q9BUT9, Q86TS9, Q15427, P62861, P42704, P82664, Q9Y5S9, P62318, Q07352, P47914, I3L4Q0, P62891, Q9C035, O15116",176,786,14527,2.310273537,0.197249494,0.104036549,0.714760412
GOTERM_CC_FAT,GO:1990904~ribonucleoprotein complex,22,10.37735849,0.000516971,"E9PK54, P46776, Q7L8L6, Q9BQ75, H0Y4V9, Q01081, Q9BX70, Q9BYK2, Q9BUT9, Q86TS9, Q15427, P62861, P42704, P82664, Q9Y5S9, P62318, Q07352, P47914, I3L4Q0, P62891, Q9C035, O15116",176,787,14527,2.307337992,0.200196371,0.071758196,0.72668115
GOTERM_BP_FAT,GO:0000956~nuclear-transcribed mRNA catabolic process,10,4.716981132,0.000522284,"P62861, P46776, J3QR64, Q07352, P67775, Q9Y5S9, P47914, P62891, O15116, Q9BYK2",187,206,16650,4.322205493,0.769975279,0.13666877,0.929617369
GOTERM_BP_FAT,GO:0044265~cellular macromolecule catabolic process,24,11.32075472,0.000567832,"Q9UJX6, Q9NVR0, P46776, J3QR64, Q9UPU5, P07858, Q99538, Q9BX70, Q9BYK2, Q14CS0, Q5VWC4, P49427, P62861, P42704, Q9BVT8, P67775, Q9Y5S9, Q07352, P07305, P47914, P62256, P62891, O15116, E5RJR5",187,976,16650,2.189445078,0.797651864,0.135195164,1.010301129
GOTERM_BP_FAT,GO:0031497~chromatin assembly,9,4.245283019,0.00058357,"P10412, A8MT69, Q5TEC6, Q9Y294, P16403, P16402, P68431, P07305, P17096",187,167,16650,4.798424541,0.806419257,0.127888836,1.038163883
GOTERM_BP_FAT,GO:0050658~RNA transport,9,4.245283019,0.000824454,"P42704, Q13769, Q9Y224, Q07352, H0Y3Q8, Q9Y5S9, E7ESC6, Q01081, Q15388",187,176,16650,4.553050559,0.901740821,0.163453203,1.463721124
GOTERM_BP_FAT,GO:0050657~nucleic acid transport,9,4.245283019,0.000824454,"P42704, Q13769, Q9Y224, Q07352, H0Y3Q8, Q9Y5S9, E7ESC6, Q01081, Q15388",187,176,16650,4.553050559,0.901740821,0.163453203,1.463721124
GOTERM_BP_FAT,GO:0006402~mRNA catabolic process,10,4.716981132,0.000863437,"P62861, P46776, J3QR64, Q07352, P67775, Q9Y5S9, P47914, P62891, O15116, Q9BYK2",187,221,16650,4.028843129,0.911954199,0.159336781,1.53242736
GOTERM_BP_FAT,GO:0034728~nucleosome organization,9,4.245283019,0.000885913,"P10412, A8MT69, Q5TEC6, Q9Y294, P16403, P16402, P68431, P07305, P17096",187,178,16650,4.501892688,0.917353088,0.153133198,1.572019698
GOTERM_BP_FAT,GO:0051236~establishment of RNA localization,9,4.245283019,0.000918652,"P42704, Q13769, Q9Y224, Q07352, H0Y3Q8, Q9Y5S9, E7ESC6, Q01081, Q15388",187,179,16650,4.476742449,0.924630732,0.149205559,1.62966433
GOTERM_BP_FAT,GO:0006413~translational initiation,9,4.245283019,0.001305539,"O43639, P62861, P46776, J3QR64, P47914, P62891, Q96DP5, Q9BPZ3, Q9BYK2",187,189,16650,4.239877769,0.974647583,0.194401245,2.308461038
GOTERM_BP_FAT,GO:0006333~chromatin assembly or disassembly,9,4.245283019,0.001392539,"P10412, A8MT69, Q5TEC6, Q9Y294, P16403, P16402, P68431, P07305, P17096",187,191,16650,4.195481143,0.98015773,0.195693197,2.460491763
GOTERM_CC_FAT,GO:0005770~late endosome,10,4.716981132,0.001443695,"E9PK54, Q14596, P42858, O95772, Q63HQ0, P11279, Q99538, Q9H9H4, Q4G0F5, P62834",176,221,14527,3.734831345,0.464270981,0.144467932,2.017067152
GOTERM_BP_FAT,GO:0006334~nucleosome assembly,8,3.773584906,0.001550015,"P10412, A8MT69, Q5TEC6, Q9Y294, P16403, P16402, P68431, P07305",187,151,16650,4.717215002,0.987267222,0.205197703,2.735113614
GOTERM_BP_FAT,GO:0008380~RNA splicing,13,6.132075472,0.001834212,"E9PK54, Q13769, K7EK33, Q8WW01, Q01081, Q9BTD8, Q15427, P36954, Q9Y224, Q9Y5S9, P62318, P67775, O15116",187,400,16650,2.893716578,0.994283364,0.227573745,3.228873562
GOTERM_CC_FAT,GO:0000786~nucleosome,7,3.301886792,0.001857394,"P10412, Q5TEC6, P16403, P16402, P68431, P07305, Q8IUE6",176,107,14527,5.399798216,0.552079897,0.148391258,2.588062714
GOTERM_BP_FAT,GO:0006323~DNA packaging,9,4.245283019,0.00216134,"P10412, A8MT69, Q5TEC6, Q9Y294, P16403, P16402, P68431, P07305, P17096",187,205,16650,3.90896048,0.997726486,0.251609168,3.794293524
GOTERM_BP_FAT,GO:0046700~heterocycle catabolic process,13,6.132075472,0.002296729,"P62861, P46776, P42704, J3QR64, P67775, Q9Y5S9, Q07352, P07305, Q16719, P47914, P62891, O15116, Q9BYK2",187,411,16650,2.816269175,0.998447872,0.254727854,4.027390597
GOTERM_CC_FAT,GO:0044815~DNA packaging complex,7,3.301886792,0.002447746,"P10412, Q5TEC6, P16403, P16402, P68431, P07305, Q8IUE6",176,113,14527,5.113083266,0.653101309,0.161762453,3.397525139
GOTERM_BP_FAT,GO:0098532~histone H3-K27 trimethylation,3,1.41509434,0.002512297,"P10412, P16403, P16402",187,7,16650,38.15889992,0.999154838,0.26482845,4.397430813
GOTERM_BP_FAT,"GO:0000184~nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",7,3.301886792,0.002588695,"P62861, P46776, P67775, Q9Y5S9, P47914, P62891, Q9BYK2",187,123,16650,5.067170993,0.999318654,0.261998931,4.528251182
GOTERM_BP_FAT,GO:0006403~RNA localization,9,4.245283019,0.002596839,"P42704, Q13769, Q9Y224, Q07352, H0Y3Q8, Q9Y5S9, E7ESC6, Q01081, Q15388",187,211,16650,3.797805206,0.999334126,0.253661765,4.542187082
GOTERM_BP_FAT,GO:0015931~nucleobase-containing compound transport,9,4.245283019,0.002596839,"P42704, Q13769, Q9Y224, Q07352, H0Y3Q8, Q9Y5S9, E7ESC6, Q01081, Q15388",187,211,16650,3.797805206,0.999334126,0.253661765,4.542187082
GOTERM_BP_FAT,GO:0044270~cellular nitrogen compound catabolic process,13,6.132075472,0.002636804,"P62861, P46776, P42704, J3QR64, P67775, Q9Y5S9, Q07352, P07305, Q16719, P47914, P62891, O15116, Q9BYK2",187,418,16650,2.769106773,0.999405106,0.248480965,4.610544998
GOTERM_BP_FAT,GO:0044085~cellular component biogenesis,49,23.11320755,0.002753932,"O43639, A8MT69, P46776, Q9Y294, Q14596, O95140, O15013, Q9UDW1, Q9Y244, P10412, O95169, P62993, P42858, P07305, P47914, P62891, P61225, O14657, Q15388, P62834, Q99547, E9PK54, Q9BPX5, Q9NXR1, Q5TEC6, Q9H082, Q9BYG3, P17096, Q63HQ0, Q9H9H4, Q9BYK2, Q5SRQ6, Q5VWC4, H0YEH1, Q8NEH6, P49427, P62861, Q9H089, Q9C037, P16403, P16402, P62318, P68431, Q9UMS0, E7ES60, Q9NQA3, Q7Z4Q2, Q9C035, Q16595",187,2914,16650,1.497197744,0.999572475,0.249724467,4.810617672
GOTERM_BP_FAT,GO:0019439~aromatic compound catabolic process,13,6.132075472,0.002904113,"P62861, P46776, P42704, J3QR64, P67775, Q9Y5S9, Q07352, P07305, Q16719, P47914, P62891, O15116, Q9BYK2",187,423,16650,2.736375014,0.999720121,0.253368934,5.066569673
GOTERM_CC_FAT,GO:0035770~ribonucleoprotein granule,8,3.773584906,0.003037226,"Q7L8L6, Q07352, Q9C035, H0Y4V9, I3L4Q0, O15116, Q9BX70, Q9BUT9",176,158,14527,4.179228999,0.731278127,0.171157791,4.199553598
GOTERM_BP_FAT,GO:0046907~intracellular transport,31,14.62264151,0.003108513,"P46776, Q13769, O95140, Q01081, P42858, Q9Y4C2, P47914, P62891, Q4G0F5, Q15388, E9PK54, Q9NXR1, H0Y3Q8, Q9H082, P17096, E5RIM7, Q63HQ0, P11279, Q9H9H4, Q9BYK2, Q9H089, P62861, P42704, P10599, P62318, Q9Y5S9, Q9NQA3, Q7Z4Q2, E7ESC6, Q99584, Q6NXT1",187,1594,16650,1.731593744,0.99984278,0.260658508,5.413883776
GOTERM_BP_FAT,GO:0034248~regulation of cellular amide metabolic process,12,5.660377358,0.003279947,"H0YEH1, O43639, P42704, J3QR64, Q9BUB5, Q9NX07, Q07352, H0Y3Q8, Q9Y5S9, H0Y4V9, P58004, Q9BPZ3",187,374,16650,2.856816037,0.999903083,0.265125241,5.704257845
